"","V1","V2","V3","V4","V5"
"5070",16040.94,0.62,0.62,218.37,1760.92
"5071",15783.85,0.63,0.63,206.95,1752.74
"5072",16059.98,0.62,0.62,217.21,1759.52
"5073",15696.05,0.63,0.63,207.05,1753.92
"5074",16067.79,0.62,0.62,221.56,1763.77
"5075",15707.35,0.63,0.63,205.55,1752.29
"5076",16072.93,0.62,0.62,219.79,1761.93
"5077",15921.05,0.63,0.62,215.04,1759.12
"5078",16472.16,0.61,0.61,237.52,1774.34
"5079",16025.27,0.62,0.62,217.67,1760.43
"5080",16597.64,0.61,0.61,241.09,1776.18
"5081",16072,0.62,0.62,221.74,1763.9
"5082",16476.09,0.61,0.61,237.69,1774.46
"5083",16077.38,0.62,0.62,219.98,1762.07
"5084",16477.36,0.61,0.61,235.75,1772.5
"5085",16231.63,0.62,0.62,226.83,1766.9
"5086",16792.72,0.61,0.6,249.75,1782.09
"5087",16299.39,0.62,0.62,227.84,1767.01
"5088",16877.45,0.6,0.6,251.51,1782.64
"5089",24492.94,0.43,0.42,597.71,1979.08
"5090",24840.81,0.42,0.41,611.16,1984.22
"5091",24520.61,0.43,0.42,596.94,1977.65
"5092",24851.68,0.42,0.41,609.64,1982.44
"5093",24734.36,0.42,0.41,606.43,1982.04
"5094",25121.76,0.41,0.41,621.64,1987.91
"5095",24792.89,0.42,0.41,607.03,1981.24
"5096",25154.79,0.41,0.41,621.1,1986.57
"5097",25386.71,0.41,0.4,635.4,1995.21
"5098",25801.01,0.4,0.39,651.8,2001.41
"5099",25405.94,0.41,0.4,634.26,1993.6
"5100",25805.84,0.4,0.39,650.02,1999.5
"5101",25583.95,0.4,0.4,642.16,1997.13
"5102",26035.62,0.39,0.39,660.22,2003.99
"5103",25627.09,0.4,0.4,642.08,1995.98
"5104",26055.51,0.39,0.39,659.1,2002.37
"5105",24953.26,0.42,0.41,616.15,1986.5
"5106",25505.42,0.4,0.4,638.68,1995.58
"5107",25088.51,0.41,0.41,620.16,1987.24
"5108",25613.37,0.4,0.4,641.47,1995.71
"5109",26351,0.38,0.38,676.23,2012.08
"5110",27507.89,0.36,0.35,725.6,2031.82
"5111",27297.08,0.36,0.36,716.24,2027.93
"5112",28595.28,0.33,0.33,771.89,2049.44
"5113",25781.37,0.4,0.39,650.93,2001.02
"5114",26398.69,0.38,0.38,676.34,2010.99
